Country Code,Country Name,Region,Domain,Year,Actual,Predicted,Optimistic,Pessimistic,Error,Within_Band
BIH,Bosnia and Herzegovina,Europe,Climate & Energy,2022,0.6324,0.569,0.5776,0.5604,-0.0634,0
BIH,Bosnia and Herzegovina,Europe,Climate & Energy,2023,0.6301,0.5699,0.579,0.5607,-0.0603,0
BIH,Bosnia and Herzegovina,Europe,Digital Infrastructure,2021,0.6347,0.6564,0.67,0.6428,0.0217,0
BIH,Bosnia and Herzegovina,Europe,Digital Infrastructure,2022,0.6781,0.6892,0.7037,0.6746,0.011,1
BIH,Bosnia and Herzegovina,Europe,Digital Infrastructure,2023,0.7126,0.722,0.7375,0.7064,0.0093,1
BIH,Bosnia and Herzegovina,Europe,Economic Fragility,2021,0.6784,0.8195,0.8683,0.7707,0.1411,0
BIH,Bosnia and Herzegovina,Europe,Economic Fragility,2022,0.6695,0.835,0.8872,0.7828,0.1656,0
BIH,Bosnia and Herzegovina,Europe,Economic Fragility,2023,0.7091,0.8505,0.9062,0.7948,0.1414,0
BIH,Bosnia and Herzegovina,Europe,Food Security,2021,0.7216,0.6356,0.6871,0.5842,-0.086,0
BIH,Bosnia and Herzegovina,Europe,Food Security,2022,0.7298,0.6273,0.6826,0.5721,-0.1025,0
BIH,Bosnia and Herzegovina,Europe,Food Security,2023,0.7075,0.619,0.6781,0.5599,-0.0885,0
BIH,Bosnia and Herzegovina,Europe,Healthcare,2021,0.4736,0.3472,0.3722,0.3223,-0.1264,0
BIH,Bosnia and Herzegovina,Europe,Healthcare,2022,0.4243,0.3538,0.3805,0.3271,-0.0705,0
BIH,Bosnia and Herzegovina,Europe,Healthcare,2023,0.4364,0.3604,0.3889,0.3319,-0.076,0
BIH,Bosnia and Herzegovina,Europe,Political Stability,2021,0.5275,0.5211,0.5514,0.4907,-0.0065,1
BIH,Bosnia and Herzegovina,Europe,Political Stability,2022,0.5142,0.5207,0.5532,0.4882,0.0065,1
BIH,Bosnia and Herzegovina,Europe,Political Stability,2023,0.5423,0.5204,0.5551,0.4857,-0.022,1
BLR,Belarus,Europe,Climate & Energy,2021,0.6398,0.6471,0.6495,0.6446,0.0073,0
BLR,Belarus,Europe,Climate & Energy,2022,0.7748,0.6491,0.6517,0.6465,-0.1257,0
BLR,Belarus,Europe,Climate & Energy,2023,0.7246,0.6511,0.6539,0.6484,-0.0735,0
BLR,Belarus,Europe,Digital Infrastructure,2021,0.7962,0.8747,0.9239,0.8254,0.0785,0
BLR,Belarus,Europe,Digital Infrastructure,2022,0.7995,0.9212,0.974,0.8685,0.1217,0
BLR,Belarus,Europe,Digital Infrastructure,2023,0.8199,0.9678,1.0,0.9115,0.1479,0
BLR,Belarus,Europe,Economic Fragility,2021,0.6962,0.7677,0.8241,0.7113,0.0715,0
BLR,Belarus,Europe,Economic Fragility,2022,0.7357,0.7801,0.8405,0.7197,0.0444,1
BLR,Belarus,Europe,Economic Fragility,2023,0.6955,0.7925,0.8569,0.7281,0.097,0
BLR,Belarus,Europe,Food Security,2021,0.8159,0.8273,0.8713,0.7833,0.0114,1
BLR,Belarus,Europe,Food Security,2022,0.99,0.8288,0.8759,0.7817,-0.1612,0
BLR,Belarus,Europe,Food Security,2023,0.99,0.8302,0.8805,0.78,-0.1598,0
BLR,Belarus,Europe,Healthcare,2021,0.5282,0.5049,0.5129,0.497,-0.0233,0
BLR,Belarus,Europe,Healthcare,2022,0.5255,0.5058,0.5143,0.4973,-0.0197,0
BLR,Belarus,Europe,Healthcare,2023,0.5329,0.5067,0.5157,0.4976,-0.0262,0
BLR,Belarus,Europe,Political Stability,2021,0.4555,0.5995,0.642,0.557,0.144,0
BLR,Belarus,Europe,Political Stability,2022,0.4451,0.5945,0.64,0.549,0.1494,0
BLR,Belarus,Europe,Political Stability,2023,0.4609,0.5895,0.6381,0.5409,0.1287,0
BOL,Bolivia,South America,Climate & Energy,2021,0.6104,0.6133,0.6183,0.6084,0.0029,1
BOL,Bolivia,South America,Climate & Energy,2022,0.7338,0.6175,0.6229,0.6122,-0.1163,0
BOL,Bolivia,South America,Climate & Energy,2023,0.6568,0.6217,0.6274,0.6161,-0.0351,0
BOL,Bolivia,South America,Digital Infrastructure,2021,0.4326,0.3331,0.3523,0.3139,-0.0996,0
BOL,Bolivia,South America,Digital Infrastructure,2022,0.4553,0.3502,0.3707,0.3296,-0.1051,0
BOL,Bolivia,South America,Digital Infrastructure,2023,0.7053,0.3673,0.3892,0.3454,-0.338,0
BOL,Bolivia,South America,Economic Fragility,2021,0.6612,0.7202,0.7442,0.6962,0.059,0
BOL,Bolivia,South America,Economic Fragility,2022,0.7076,0.7217,0.7474,0.696,0.0141,1
BOL,Bolivia,South America,Economic Fragility,2023,0.7149,0.7232,0.7506,0.6958,0.0083,1
BOL,Bolivia,South America,Food Security,2021,0.6915,0.7868,0.8102,0.7634,0.0953,0
BOL,Bolivia,South America,Food Security,2022,0.6967,0.8,0.8251,0.7749,0.1033,0
BOL,Bolivia,South America,Food Security,2023,0.6735,0.8132,0.84,0.7864,0.1397,0
