Country Code,Country Name,Region,Domain,Base_2030,Optimistic_2030,Pessimistic_2030,Composite_Base,Composite_Opt,Composite_Pess,Data_Type
JAM,Jamaica,Central America & Caribbean,Economic Fragility,0.7176509020008542,0.7396202784186537,0.6956815255830547,0.6111999964218878,0.6450289138324258,0.5773710790113499,Actual
JAM,Jamaica,Central America & Caribbean,Food Security,0.5865493787214389,0.6360267792030532,0.5370719782398246,0.6111999964218878,0.6450289138324258,0.5773710790113499,Actual
JAM,Jamaica,Central America & Caribbean,Healthcare,0.19296069845256425,0.23039867881277068,0.15552271809235782,0.6111999964218878,0.6450289138324258,0.5773710790113499,Actual
JAM,Jamaica,Central America & Caribbean,Political Stability,0.7437446853270337,0.7819794054364662,0.7055099652176013,0.6111999964218878,0.6450289138324258,0.5773710790113499,Actual
JOR,Jordan,Middle East,Climate & Energy,0.6696910904510527,0.6931471310454713,0.646235049856634,0.5486902915585419,0.5812921907393488,0.516088392377735,Actual
JOR,Jordan,Middle East,Digital Infrastructure,0.6694496179667695,0.6923354218512394,0.6465638140822996,0.5486902915585419,0.5812921907393488,0.516088392377735,Actual
JOR,Jordan,Middle East,Economic Fragility,0.7399438116738475,0.7573646045153156,0.7225230188323793,0.5486902915585419,0.5812921907393488,0.516088392377735,Actual
JOR,Jordan,Middle East,Food Security,0.5024760348040367,0.5773364378989395,0.42761563170913386,0.5486902915585419,0.5812921907393488,0.516088392377735,Actual
JOR,Jordan,Middle East,Healthcare,0.18841787822558853,0.21080088897434096,0.1660348674768361,0.5486902915585419,0.5812921907393488,0.516088392377735,Actual
JOR,Jordan,Middle East,Political Stability,0.5221633162299564,0.5567686601507862,0.48755797230912656,0.5486902915585419,0.5812921907393488,0.516088392377735,Actual
KAZ,Kazakhstan,Central Asia,Climate & Energy,0.728326113680783,0.7618074220907536,0.6948448052708125,0.6412335270353368,0.6790595084055061,0.6034075456651674,Actual
KAZ,Kazakhstan,Central Asia,Digital Infrastructure,0.9147878461026409,0.9731969752939874,0.8563787169112943,0.6412335270353368,0.6790595084055061,0.6034075456651674,Actual
KAZ,Kazakhstan,Central Asia,Economic Fragility,0.7271946923083421,0.7464856058708365,0.7079037787458478,0.6412335270353368,0.6790595084055061,0.6034075456651674,Actual
KAZ,Kazakhstan,Central Asia,Food Security,0.7056232365032677,0.7506342726393694,0.6606122003671661,0.6412335270353368,0.6790595084055061,0.6034075456651674,Actual
KAZ,Kazakhstan,Central Asia,Healthcare,0.2616715195022685,0.2781108917168805,0.24523214728765652,0.6412335270353368,0.6790595084055061,0.6034075456651674,Actual
KAZ,Kazakhstan,Central Asia,Political Stability,0.5097977541147181,0.5641218828212092,0.45547362540822695,0.6412335270353368,0.6790595084055061,0.6034075456651674,Actual
KGZ,Kyrgyz Republic,Central Asia,Climate & Energy,0.65219796250586,0.6662989796149928,0.6380969453967272,0.5786972620685908,0.615384152425828,0.5420103717113538,Actual
KGZ,Kyrgyz Republic,Central Asia,Digital Infrastructure,0.5829911827898897,0.6296722478961198,0.5363101176836597,0.5786972620685908,0.615384152425828,0.5420103717113538,Actual
KGZ,Kyrgyz Republic,Central Asia,Economic Fragility,0.6876356051857802,0.7236708165598768,0.6516003938116836,0.5786972620685908,0.615384152425828,0.5420103717113538,Actual
KGZ,Kyrgyz Republic,Central Asia,Food Security,0.7981008900638091,0.8380172538899116,0.7581845262377067,0.5786972620685908,0.615384152425828,0.5420103717113538,Actual
KGZ,Kyrgyz Republic,Central Asia,Healthcare,0.2223912154650005,0.24646899056020027,0.19831344036980075,0.5786972620685908,0.615384152425828,0.5420103717113538,Actual
KGZ,Kyrgyz Republic,Central Asia,Political Stability,0.5288667164012057,0.5881766260338668,0.4695568067685447,0.5786972620685908,0.615384152425828,0.5420103717113538,Actual
KHM,Cambodia,East Asia,Climate & Energy,0.6350991411564024,0.6582051957176037,0.6119930865952011,0.5736913584465481,0.6102418539153017,0.5371408629777943,Actual
KHM,Cambodia,East Asia,Digital Infrastructure,0.36582732730472145,0.42671796414566165,0.30493669046378125,0.5736913584465481,0.6102418539153017,0.5371408629777943,Actual
KHM,Cambodia,East Asia,Economic Fragility,0.7104462900446205,0.7349003219851311,0.6859922581041098,0.5736913584465481,0.6102418539153017,0.5371408629777943,Actual
KHM,Cambodia,East Asia,Food Security,0.9251577264547919,0.9459836185784367,0.904331834331147,0.5736913584465481,0.6102418539153017,0.5371408629777943,Actual
KHM,Cambodia,East Asia,Healthcare,0.10482025016660135,0.16402649310269352,0.045614007230509186,0.5736913584465481,0.6102418539153017,0.5371408629777943,Actual
KHM,Cambodia,East Asia,Political Stability,0.7007974155521506,0.7316175299622838,0.6699773011420174,0.5736913584465481,0.6102418539153017,0.5371408629777943,Actual
KOR,"Korea, Rep.",East Asia,Climate & Energy,0.7041284761861251,0.7349867733492959,0.6732701790229543,0.7942221961423933,0.8148124398318393,0.7736319524529472,Actual
KOR,"Korea, Rep.",East Asia,Digital Infrastructure,1.0,1.0,1.0,0.7942221961423933,0.8148124398318393,0.7736319524529472,Actual
KOR,"Korea, Rep.",East Asia,Economic Fragility,0.7355470862826365,0.7476547706154476,0.7234394019498255,0.7942221961423933,0.8148124398318393,0.7736319524529472,Actual
KOR,"Korea, Rep.",East Asia,Food Security,0.8937408520422306,0.9102733606992137,0.8772083433852476,0.7942221961423933,0.8148124398318393,0.7736319524529472,Actual
KOR,"Korea, Rep.",East Asia,Healthcare,0.691547068122226,0.7270365710147122,0.6560575652297398,0.7942221961423933,0.8148124398318393,0.7736319524529472,Actual
KOR,"Korea, Rep.",East Asia,Political Stability,0.7403696942211417,0.7689231633123664,0.711816225129917,0.7942221961423933,0.8148124398318393,0.7736319524529472,Actual
KWT,Kuwait,Middle East,Climate & Energy,0.7317060710547277,0.7756216337745218,0.6877905083349337,0.6357956278584991,0.6793632742277486,0.5922279814892496,Actual
KWT,Kuwait,Middle East,Digital Infrastructure,0.765640391609061,0.7981878609906581,0.733092922227464,0.6357956278584991,0.6793632742277486,0.5922279814892496,Actual
KWT,Kuwait,Middle East,Economic Fragility,0.7556449823018836,0.7910511705167772,0.72023879408699,0.6357956278584991,0.6793632742277486,0.5922279814892496,Actual
KWT,Kuwait,Middle East,Food Security,0.6868533888564379,0.7797673827108541,0.5939393950020216,0.6357956278584991,0.6793632742277486,0.5922279814892496,Actual
KWT,Kuwait,Middle East,Healthcare,0.24354248779844667,0.25862985795299,0.22845511764390336,0.6357956278584991,0.6793632742277486,0.5922279814892496,Actual
KWT,Kuwait,Middle East,Political Stability,0.6313864455304374,0.6729217394206902,0.5898511516401846,0.6357956278584991,0.6793632742277486,0.5922279814892496,Actual
LKA,Sri Lanka,South Asia,Climate & Energy,0.5760074727368414,0.5968654026009819,0.5551495428727009,0.5705146121938556,0.6094029771719812,0.5316262472157299,Actual
LKA,Sri Lanka,South Asia,Digital Infrastructure,0.39528512761675216,0.44163192904353044,0.3489383261899739,0.5705146121938556,0.6094029771719812,0.5316262472157299,Actual
LKA,Sri Lanka,South Asia,Economic Fragility,0.7143026506745112,0.7391452458904136,0.6894600554586087,0.5705146121938556,0.6094029771719812,0.5316262472157299,Actual
LKA,Sri Lanka,South Asia,Food Security,0.8369525786164846,0.8852627535458255,0.7886424036871438,0.5705146121938556,0.6094029771719812,0.5316262472157299,Actual
LKA,Sri Lanka,South Asia,Healthcare,0.21009237649268897,0.22382325749598694,0.196361495489391,0.5705146121938556,0.6094029771719812,0.5316262472157299,Actual
LKA,Sri Lanka,South Asia,Political Stability,0.6904474670258551,0.7696892744551486,0.6112056595965617,0.5705146121938556,0.6094029771719812,0.5316262472157299,Actual
LTU,Lithuania,Europe,Climate & Energy,0.7379515535788714,0.7546118943831124,0.7212912127746305,0.7362638225325598,0.7582292333476167,0.7142984117175031,Actual
LTU,Lithuania,Europe,Digital Infrastructure,1.0,1.0,1.0,0.7362638225325598,0.7582292333476167,0.7142984117175031,Actual
LTU,Lithuania,Europe,Economic Fragility,0.7137136365075553,0.7478834016570414,0.6795438713580692,0.7362638225325598,0.7582292333476167,0.7142984117175031,Actual
LTU,Lithuania,Europe,Food Security,0.75974383259181,0.7979943601255837,0.7214933050580363,0.7362638225325598,0.7582292333476167,0.7142984117175031,Actual
LTU,Lithuania,Europe,Healthcare,0.41528268849309447,0.4342127948761995,0.3963525821099894,0.7362638225325598,0.7582292333476167,0.7142984117175031,Actual
LTU,Lithuania,Europe,Political Stability,0.7908912240240281,0.814672949043763,0.7671094990042933,0.7362638225325598,0.7582292333476167,0.7142984117175031,Actual
LUX,Luxembourg,Europe,Climate & Energy,0.71203806503327,0.7360631099083964,0.6880130201581437,0.7255641664399183,0.7451927745148295,0.7059355583650072,Actual
LUX,Luxembourg,Europe,Digital Infrastructure,1.0,1.0,1.0,0.7255641664399183,0.7451927745148295,0.7059355583650072,Actual
LUX,Luxembourg,Europe,Economic Fragility,0.7331535550872696,0.7510813164813233,0.715225793693216,0.7255641664399183,0.7451927745148295,0.7059355583650072,Actual
LUX,Luxembourg,Europe,Food Security,0.7750998002642144,0.8072033174307092,0.7429962830977197,0.7255641664399183,0.7451927745148295,0.7059355583650072,Actual
LUX,Luxembourg,Europe,Healthcare,0.2848603398383469,0.31155313033250465,0.2581675493441892,0.7255641664399183,0.7451927745148295,0.7059355583650072,Actual
LUX,Luxembourg,Europe,Political Stability,0.8482332384164089,0.8652557729360434,0.8312107038967743,0.7255641664399183,0.7451927745148295,0.7059355583650072,Actual
LVA,Latvia,Europe,Climate & Energy,0.7326969423507488,0.7461566397198061,0.7192372449816915,0.7011979548778626,0.7272144504778587,0.6751814592778663,Actual
LVA,Latvia,Europe,Digital Infrastructure,1.0,1.0,1.0,0.7011979548778626,0.7272144504778587,0.6751814592778663,Actual
LVA,Latvia,Europe,Economic Fragility,0.7448231368935478,0.7877754605767222,0.7018708132103735,0.7011979548778626,0.7272144504778587,0.6751814592778663,Actual
LVA,Latvia,Europe,Food Security,0.6928682921655902,0.739552086402867,0.6461844979283135,0.7011979548778626,0.7272144504778587,0.6751814592778663,Actual
LVA,Latvia,Europe,Healthcare,0.34259428490804433,0.3608859427629563,0.32430262705313234,0.7011979548778626,0.7272144504778587,0.6751814592778663,Actual
LVA,Latvia,Europe,Political Stability,0.6942050729492442,0.7289165734048011,0.6594935724936872,0.7011979548778626,0.7272144504778587,0.6751814592778663,Actual
MAR,Morocco,Africa,Climate & Energy,0.7162889181092869,0.7425111589153948,0.6900666773031789,0.6055730502677721,0.6331672296294609,0.5779788709060832,Actual
MAR,Morocco,Africa,Digital Infrastructure,0.7058337913549764,0.7289759575596365,0.6826916251503162,0.6055730502677721,0.6331672296294609,0.5779788709060832,Actual
MAR,Morocco,Africa,Economic Fragility,0.7255661304874348,0.7460753055520529,0.7050569554228167,0.6055730502677721,0.6331672296294609,0.5779788709060832,Actual
MAR,Morocco,Africa,Food Security,0.780781541419254,0.8320876518504341,0.729475430988074,0.6055730502677721,0.6331672296294609,0.5779788709060832,Actual
MAR,Morocco,Africa,Healthcare,0.1809991620970619,0.2041307752075744,0.15786754898654942,0.6055730502677721,0.6331672296294609,0.5779788709060832,Actual
MAR,Morocco,Africa,Political Stability,0.5239687581386185,0.5452225286916724,0.5027149875855647,0.6055730502677721,0.6331672296294609,0.5779788709060832,Actual
MDA,Moldova,Europe,Climate & Energy,0.7657400148304863,0.7846238693315282,0.7468561603294444,0.7074376720525423,0.7416210092542076,0.6732543348508769,Actual
MDA,Moldova,Europe,Digital Infrastructure,0.8899614744256397,0.9325306384177318,0.8473923104335476,0.7074376720525423,0.7416210092542076,0.6732543348508769,Actual
MDA,Moldova,Europe,Economic Fragility,0.7265573395116411,0.7615615826725054,0.6915530963507769,0.7074376720525423,0.7416210092542076,0.6732543348508769,Actual
MDA,Moldova,Europe,Food Security,0.9182003341947258,0.9613966374022174,0.8750040309872342,0.7074376720525423,0.7416210092542076,0.6732543348508769,Actual
MDA,Moldova,Europe,Healthcare,0.4229652356435931,0.4529796421078135,0.39295082917937274,0.7074376720525423,0.7416210092542076,0.6732543348508769,Actual
MDA,Moldova,Europe,Political Stability,0.5212016337091678,0.5566336855934494,0.4857695818248863,0.7074376720525423,0.7416210092542076,0.6732543348508769,Actual
MDG,Madagascar,Africa,Climate & Energy,0.38277069636010497,0.4353114320154654,0.33022996070474453,0.3312508250542198,0.3732703975340459,0.2892312525743938,Actual
MDG,Madagascar,Africa,Digital Infrastructure,0.1002945900883212,0.11341474318810651,0.08717443698853589,0.3312508250542198,0.3732703975340459,0.2892312525743938,Actual
MDG,Madagascar,Africa,Economic Fragility,0.7104413347611672,0.7414035242821493,0.6794791452401852,0.3312508250542198,0.3732703975340459,0.2892312525743938,Actual
MDG,Madagascar,Africa,Food Security,0.23809733350994478,0.29673986371199057,0.17945480330789898,0.3312508250542198,0.3732703975340459,0.2892312525743938,Actual
MDG,Madagascar,Africa,Healthcare,0.14036912421410763,0.178777246494114,0.10196100193410126,0.3312508250542198,0.3732703975340459,0.2892312525743938,Actual
MDG,Madagascar,Africa,Political Stability,0.41553187139167314,0.4739755755124495,0.35708816727089676,0.3312508250542198,0.3732703975340459,0.2892312525743938,Actual
MEX,Mexico,North America,Climate & Energy,0.6606301893471773,0.6871240181535383,0.6341363605408163,0.6133997396567933,0.6335343363856205,0.593265142927966,Actual
MEX,Mexico,North America,Digital Infrastructure,0.7954982669631647,0.8145717033521711,0.7764248305741583,0.6133997396567933,0.6335343363856205,0.593265142927966,Actual
